Numero_expedient,Codi_districte,Nom_districte,Codi_barri,Nom_barri,Codi_carrer,Nom_carrer,Num_postal_caption,Descripcio_dia_setmana,NK_Any,Mes_any,Nom_mes,Dia_mes,Hora_dia,Descripcio_torn,Descripcio_causa_vianant,Numero_morts,Numero_lesionats_lleus,Numero_lesionats_greus,Numero_victimes,Numero_vehicles_implicats,Coordenada_UTM_X_ED50,Coordenada_UTM_Y_ED50,Longitud,Latitud
2022S007410    ,10,Sant Martí,72,Sant Martí de Provençals,3406,Huelva / Agricultura                              ,0284 0288,Divendres,2022,12,Desembre,2,8,Matí,No és causa del  vianant,0,1,0,1,2,433177.51 ,4585855.69,2.19923911839307,41.4196353407890
2022S007492    ,10,Sant Martí,64,el Camp de l'Arpa del Clot,98209,Degà Bahí / Nació                                 ,0068 0068,Dimarts,2022,12,Desembre,6,15,Tarda,No és causa del  vianant,0,1,0,1,2,431998.91 ,4585133.19,2.18521796780629,41.4130290398016
2022S003642    ,10,Sant Martí,65,el Clot,209900,Meridiana / Múrcia                                ,0198 0198,Dimarts,2022,6,Juny,14,17,Tarda,No és causa del  vianant,0,1,0,1,2,432140.24 ,4585237.32,2.18689717773301,41.4139788631651
2022S005261    ,10,Sant Martí,65,el Clot,42306,Las Navas de Tolosa / Aragó                       ,0220X0220X,Divendres,2022,9,Setembre,2,22,Nit,No és causa del  vianant,0,1,0,1,2,432504.38 ,4585011.18,2.19127914006278,41.4119727809409
2022S003035    ,10,Sant Martí,65,el Clot,115603,València / Espronceda                             ,0309 0311,Divendres,2022,5,Maig,20,13,Matí,No és causa del  vianant,0,1,0,1,2,432602.82 ,4585296.58,2.19242505595187,41.4145515626049
2022S006877    ,10,Sant Martí,65,el Clot,89004,Independència / Consell de Cent                   ,0611 0611,Dijous,2022,11,Novembre,10,7,Matí,No és causa del  vianant,0,1,0,1,2,432028.36 ,4584359.69,2.18565727780755,41.4060648556145
2022S004507    ,10,Sant Martí,65,el Clot,191204,Mallorca                                          ,0622 0624,Dissabte,2022,7,Juliol,23,9,Matí,No és causa del  vianant,0,1,0,1,2,432182.73 ,4585056.14,2.18742587159629,41.4123506206207
2022S006605    ,10,Sant Martí,65,el Clot,350308,València / Gabriel y Galán                        ,0637 0641,Dimarts,2022,11,Novembre,1,20,Tarda,No és causa del  vianant,0,1,0,1,2,432270.8  ,4584972.11,2.18848896310636,41.4116012213303
2022S007519    ,10,Sant Martí,64,el Camp de l'Arpa del Clot,209900,Meridiana / València                              ,0137 0137B,Dimecres,2022,12,Desembre,7,21,Tarda,No és causa del  vianant,0,1,0,1,2,432134.81 ,4584834.86,2.18687739482471,41.4103535707289
2022S007868    ,10,Sant Martí,70,el Besòs i el Maresme,701266,B-10 (Llobregat)                                  ,560000,Divendres,2022,12,Desembre,23,15,Tarda,No és causa del  vianant,0,1,0,1,2,434981.22 ,4584639.26,2.22095225932423,41.4088273632634
